Category: All categories

Day,Long-distance relationship: (United States)
2020-01-26,56
2020-01-27,70
2020-01-28,61
2020-01-29,60
2020-01-30,51
2020-01-31,46
2020-02-01,76
2020-02-02,61
2020-02-03,46
2020-02-04,50
2020-02-05,67
2020-02-06,65
2020-02-07,48
2020-02-08,40
2020-02-09,77
2020-02-10,74
2020-02-11,61
2020-02-12,58
2020-02-13,52
2020-02-14,70
2020-02-15,52
2020-02-16,70
2020-02-17,52
2020-02-18,55
2020-02-19,64
2020-02-20,50
2020-02-21,43
2020-02-22,61
2020-02-23,66
2020-02-24,55
2020-02-25,53
2020-02-26,61
2020-02-27,53
2020-02-28,45
2020-02-29,52
2020-03-01,65
2020-03-02,65
2020-03-03,64
2020-03-04,48
2020-03-05,42
2020-03-06,39
2020-03-07,53
2020-03-08,52
2020-03-09,55
2020-03-10,42
2020-03-11,38
2020-03-12,24
2020-03-13,36
2020-03-14,46
2020-03-15,52
2020-03-16,65
2020-03-17,54
2020-03-18,36
2020-03-19,75
2020-03-20,71
2020-03-21,47
2020-03-22,100
2020-03-23,60
2020-03-24,46
2020-03-25,71
2020-03-26,71
2020-03-27,67
2020-03-28,78
2020-03-29,89
2020-03-30,63
2020-03-31,85
2020-04-01,71
2020-04-02,46
2020-04-03,76
2020-04-04,77
2020-04-05,83
2020-04-06,58
2020-04-07,68
2020-04-08,53
2020-04-09,59
2020-04-10,57
2020-04-11,72
2020-04-12,92
2020-04-13,65
2020-04-14,61
2020-04-15,62
2020-04-16,51
2020-04-17,45
2020-04-18,44
2020-04-19,62
2020-04-20,66
2020-04-21,55
2020-04-22,69
2020-04-23,46
